"uuid","current","power","rtc"
"d500000c-01","7.937","81.2","1498870800"
"d500000c-01","7.909","80.62","1498870980"
"d500000c-01","7.87","79.82","1498871160"
"d500000c-01","7.898","80.4","1498871340"
"d500000c-01","7.902","80.48","1498871520"
"d500000c-01","7.949","81.45","1498871700"
"d500000c-01","7.913","80.71","1498871880"
"d500000c-01","7.882","80.07","1498872060"
"d500000c-01","7.921","80.87","1498872240"
"d500000c-01","7.917","80.79","1498872420"
"d500000c-01","7.949","81.45","1498872600"
"d500000c-01","7.941","81.28","1498872780"
"d500000c-01","7.976","82.01","1498872960"
"d500000c-01","7.945","81.37","1498873140"
"d500000c-01","7.984","82.17","1498873320"
"d500000c-01","7.929","81.04","1498873500"
"d500000c-01","7.953","81.53","1498873680"
"d500000c-01","8.012","82.75","1498873860"
"d500000c-01","7.956","81.59","1498874040"
"d500000c-01","7.917","80.79","1498874220"
"d500000c-01","7.976","82.01","1498874400"
"d500000c-01","7.882","80.07","1498874580"
"d500000c-01","7.898","80.4","1498874760"
"d500000c-01","7.949","81.45","1498874940"
"d500000c-01","7.972","81.92","1498875120"
"d500000c-01","7.964","81.76","1498875300"
"d500000c-01","7.972","81.92","1498875480"
"d500000c-01","7.972","81.92","1498875660"
"d500000c-01","7.929","81.04","1498875840"
"d500000c-01","7.988","82.25","1498876020"
"d500000c-01","7.945","81.37","1498876200"
"d500000c-01","7.984","82.17","1498876380"
"d500000c-01","8","82.5","1498876560"
"d500000c-01","8","82.5","1498876740"
"d500000c-01","8.031","83.14","1498876920"
"d500000c-01","8","82.5","1498877100"
"d500000c-01","7.976","82.01","1498877280"
"d500000c-01","8.039","83.3","1498877460"
"d500000c-01","7.956","81.59","1498877640"
"d500000c-01","7.964","81.76","1498877820"
"d500000c-01","7.976","82.01","1498878000"
"d500000c-01","8.008","82.67","1498878180"
"d500000c-01","7.933","81.12","1498878360"
"d500000c-01","7.96","81.68","1498878540"
"d500000c-01","8.008","82.67","1498878720"
"d500000c-01","7.992","82.34","1498878900"
"d500000c-01","7.984","82.17","1498879080"
"d500000c-01","7.996","82.42","1498879260"
"d500000c-01","8.012","82.75","1498879440"
"d500000c-01","7.988","82.25","1498879620"
"d500000c-01","8.027","83.06","1498879800"
"d500000c-01","7.984","82.17","1498879980"
"d500000c-01","7.984","82.17","1498880160"
"d500000c-01","7.996","82.42","1498880340"
"d500000c-01","8.016","82.83","1498880520"
"d500000c-01","8.027","83.06","1498880700"
"d500000c-01","8.082","84.19","1498880880"
"d500000c-01","8.012","82.75","1498881060"
"d500000c-01","8.008","82.67","1498881240"
"d500000c-01","8.035","83.22","1498881420"
"d500000c-01","8.047","83.47","1498881600"
"d500000c-01","8.031","83.14","1498881780"
"d500000c-01","8.024","83","1498881960"
"d500000c-01","8.078","84.11","1498882140"
"d500000c-01","8.012","82.75","1498882320"
"d500000c-01","8.012","82.75","1498882500"
"d500000c-01","8.02","82.91","1498882680"
"d500000c-01","8.035","83.22","1498882860"
"d500000c-01","8.051","83.55","1498883040"
"d500000c-01","8.059","83.72","1498883220"
"d500000c-01","8.051","83.55","1498883400"
"d500000c-01","8.043","83.39","1498883580"
"d500000c-01","8.051","83.55","1498883760"
"d500000c-01","8.027","83.06","1498883940"
"d500000c-01","7.98","82.09","1498884120"
"d500000c-01","8.067","83.88","1498884300"
"d500000c-01","8.059","83.72","1498884480"
"d500000c-01","8.078","84.11","1498884660"
"d500000c-01","8.047","83.47","1498884840"
"d500000c-01","8.047","83.47","1498885020"
"d500000c-01","8.082","84.19","1498885200"
"d500000c-01","8.086","84.27","1498885380"
"d500000c-01","8.067","83.88","1498885560"
"d500000c-01","8.047","83.47","1498885740"
"d500000c-01","8.078","84.11","1498885920"
"d500000c-01","8.078","84.11","1498886100"
"d500000c-01","8.063","83.8","1498886280"
"d500000c-01","8.078","84.11","1498886460"
"d500000c-01","8.106","84.69","1498886640"
"d500000c-01","8.11","84.77","1498886820"
"d500000c-01","8.102","84.6","1498887000"
"d500000c-01","8.082","84.19","1498887180"
"d500000c-01","8.106","84.69","1498887360"
"d500000c-01","8.086","84.27","1498887540"
"d500000c-01","8.074","84.03","1498887720"
"d500000c-01","8.074","84.03","1498887900"
"d500000c-01","8.063","83.8","1498888080"
"d500000c-01","8.098","84.52","1498888260"
"d500000c-01","8.118","84.93","1498888440"
"d500000c-01","8.137","85.33","1498888620"
"d500000c-01","8.071","83.96","1498888800"
"d500000c-01","8.039","83.3","1498888980"
"d500000c-01","8.106","84.69","1498889160"
"d500000c-01","8.086","84.27","1498889340"
"d500000c-01","8.102","84.6","1498889520"
"d500000c-01","8.074","84.03","1498889700"
"d500000c-01","8.098","84.52","1498889880"
"d500000c-01","8.114","84.85","1498890060"
"d500000c-01","8.118","84.93","1498890240"
"d500000c-01","8.153","85.66","1498890420"
"d500000c-01","8.106","84.69","1498890600"
"d500000c-01","8.165","85.9","1498890780"
"d500000c-01","8.102","84.6","1498890960"
"d500000c-01","8.078","84.11","1498891140"
"d500000c-01","8.098","84.52","1498891320"
"d500000c-01","8.133","85.24","1498891500"
"d500000c-01","8.118","84.93","1498891680"
"d500000c-01","8.098","84.52","1498891860"
"d500000c-01","8.082","84.19","1498892040"
"d500000c-01","8.086","84.27","1498892220"
"d500000c-01","8.157","85.74","1498892400"
"d500000c-01","8.133","85.24","1498892580"
"d500000c-01","8.086","84.27","1498892760"
"d500000c-01","8.176","86.13","1498892940"
"d500000c-01","8.145","85.49","1498893120"
"d500000c-01","8.055","83.63","1498893300"
"d500000c-01","8.157","85.74","1498893480"
"d500000c-01","8.102","84.6","1498893660"
"d500000c-01","8.106","84.69","1498893840"
"d500000c-01","8.055","83.63","1498894020"
"d500000c-01","8.063","83.8","1498894200"
"d500000c-01","8.09","84.36","1498894380"
"d500000c-01","8.074","84.03","1498894560"
"d500000c-01","8.125","85.08","1498894740"
"d500000c-01","8.122","85.02","1498894920"
"d500000c-01","8.074","84.03","1498895100"
"d500000c-01","8.059","83.72","1498895280"
"d500000c-01","8.071","83.96","1498895460"
"d500000c-01","8.098","84.52","1498895640"
"d500000c-01","8.024","83","1498895820"
"d500000c-01","8.098","84.52","1498896000"
"d500000c-01","8.071","83.96","1498896180"
"d500000c-01","8.051","83.55","1498896360"
"d500000c-01","8.024","83","1498896540"
"d500000c-01","8.027","83.06","1498896720"
"d500000c-01","8.043","83.39","1498896900"
"d500000c-01","8.031","83.14","1498897080"
"d500000c-01","8.071","83.96","1498897260"
"d500000c-01","8.067","83.88","1498897440"
"d500000c-01","8.031","83.14","1498897620"
"d500000c-01","8.051","83.55","1498897800"
"d500000c-01","7.996","82.42","1498897980"
"d500000c-01","7.988","82.25","1498898160"
"d500000c-01","8.027","83.06","1498898340"
"d500000c-01","8.035","83.22","1498898520"
"d500000c-01","7.992","82.34","1498898700"
"d500000c-01","8.063","83.8","1498898880"
"d500000c-01","7.984","82.17","1498899060"
"d500000c-01","8.004","82.58","1498899240"
"d500000c-01","8.012","82.75","1498899420"
"d500000c-01","7.976","82.01","1498899600"
"d500000c-01","8","82.5","1498899780"
"d500000c-01","8.024","83","1498899960"
"d500000c-01","8.004","82.58","1498900140"
"d500000c-01","8.031","83.14","1498900320"
"d500000c-01","8.047","83.47","1498900500"
"d500000c-01","7.984","82.17","1498900680"
"d500000c-01","8.031","83.14","1498900860"
"d500000c-01","7.956","81.59","1498901040"
"d500000c-01","7.972","81.92","1498901220"
"d500000c-01","8.031","83.14","1498901400"
"d500000c-01","7.992","82.34","1498901580"
"d500000c-01","7.956","81.59","1498901760"
"d500000c-01","8.008","82.67","1498901940"
"d500000c-01","7.988","82.25","1498902120"
"d500000c-01","7.964","81.76","1498902300"
"d500000c-01","7.909","80.62","1498902480"
"d500000c-01","7.968","81.84","1498902660"
"d500000c-01","7.964","81.76","1498902840"
"d500000c-01","7.976","82.01","1498903020"
"d500000c-01","7.956","81.59","1498903200"
"d500000c-01","7.917","80.79","1498903380"
"d500000c-01","7.921","80.87","1498903560"
"d500000c-01","7.953","81.53","1498903740"
"d500000c-01","7.945","81.37","1498903920"
"d500000c-01","7.937","81.2","1498904100"
"d500000c-01","7.937","81.2","1498904280"
"d500000c-01","7.929","81.04","1498904460"
"d500000c-01","7.972","81.92","1498904640"
"d500000c-01","7.921","80.87","1498904820"
"d500000c-01","7.949","81.45","1498905000"
"d500000c-01","7.862","79.65","1498905180"
"d500000c-01","7.87","79.82","1498905360"
"d500000c-01","7.956","81.59","1498905540"
"d500000c-01","7.913","80.71","1498905720"
"d500000c-01","7.96","81.68","1498905900"
"d500000c-01","4.357","0","1498906080"
"d500000c-01","4.078","0","1498906260"
"d500000c-01","4.051","0","1498906440"
"d500000c-01","4.059","0","1498906620"
"d500000c-01","4.051","0","1498906800"
"d500000c-01","4","0","1498906980"
"d500000c-01","4.043","0","1498907160"
"d500000c-01","4.063","0","1498907340"
"d500000c-01","4.063","0","1498907520"
"d500000c-01","4.024","0","1498907700"
"d500000c-01","4.055","0","1498907880"
"d500000c-01","3.98","0","1498908060"
"d500000c-01","4.086","0","1498908240"
"d500000c-01","4.039","0","1498908420"
"d500000c-01","4.059","0","1498908600"
"d500000c-01","4.043","0","1498908780"
"d500000c-01","4.051","0","1498908960"
"d500000c-01","8.357","89.86","1498909140"
"d500000c-01","7.839","79.18","1498909320"
"d500000c-01","7.902","80.48","1498909500"
"d500000c-01","7.866","79.74","1498909680"
"d500000c-01","7.855","79.51","1498909860"
"d500000c-01","7.843","79.26","1498910040"
"d500000c-01","7.851","79.43","1498910220"
"d500000c-01","7.815","78.68","1498910400"
"d500000c-01","7.87","79.82","1498910580"
"d500000c-01","7.835","79.1","1498910760"
"d500000c-01","7.823","78.85","1498910940"
"d500000c-01","7.855","79.51","1498911120"
"d500000c-01","7.788","78.13","1498911300"
"d500000c-01","7.835","79.1","1498911480"
"d500000c-01","7.843","79.26","1498911660"
"d500000c-01","7.827","78.93","1498911840"
"d500000c-01","7.827","78.93","1498912020"
"d500000c-01","7.76","77.55","1498912200"
"d500000c-01","7.796","78.29","1498912380"
"d500000c-01","7.788","78.13","1498912560"
"d500000c-01","7.796","78.29","1498912740"
"d500000c-01","7.768","77.72","1498912920"
"d500000c-01","7.757","77.49","1498913100"
"d500000c-01","7.745","77.24","1498913280"
"d500000c-01","7.741","77.16","1498913460"
"d500000c-01","7.796","78.29","1498913640"
"d500000c-01","7.823","78.85","1498913820"
"d500000c-01","7.764","77.63","1498914000"
"d500000c-01","7.784","78.05","1498914180"
"d500000c-01","7.764","77.63","1498914360"
"d500000c-01","7.808","78.54","1498914540"
"d500000c-01","7.721","76.75","1498914720"
"d500000c-01","7.788","78.13","1498914900"
"d500000c-01","7.733","76.99","1498915080"
"d500000c-01","7.745","77.24","1498915260"
"d500000c-01","7.768","77.72","1498915440"
"d500000c-01","7.745","77.24","1498915620"
"d500000c-01","7.741","77.16","1498915800"
"d500000c-01","7.76","77.55","1498915980"
"d500000c-01","7.757","77.49","1498916160"
"d500000c-01","7.788","78.13","1498916340"
"d500000c-01","7.804","78.46","1498916520"
"d500000c-01","7.729","76.91","1498916700"
"d500000c-01","7.772","77.8","1498916880"
"d500000c-01","7.749","77.32","1498917060"
"d500000c-01","7.772","77.8","1498917240"
"d500000c-01","7.772","77.8","1498917420"
"d500000c-01","7.768","77.72","1498917600"
"d500000c-01","7.784","78.05","1498917780"
"d500000c-01","7.764","77.63","1498917960"
"d500000c-01","7.768","77.72","1498918140"
"d500000c-01","7.749","77.32","1498918320"
"d500000c-01","7.745","77.24","1498918500"
"d500000c-01","7.815","78.68","1498918680"
"d500000c-01","7.768","77.72","1498918860"
"d500000c-01","7.741","77.16","1498919040"
"d500000c-01","7.753","77.41","1498919220"
"d500000c-01","7.808","78.54","1498919400"
"d500000c-01","7.737","77.08","1498919580"
"d500000c-01","7.753","77.41","1498919760"
"d500000c-01","7.784","78.05","1498919940"
"d500000c-01","7.729","76.91","1498920120"
"d500000c-01","7.741","77.16","1498920300"
"d500000c-01","7.784","78.05","1498920480"
"d500000c-01","7.764","77.63","1498920660"
"d500000c-01","7.737","77.08","1498920840"
"d500000c-01","7.78","77.96","1498921020"
"d500000c-01","7.772","77.8","1498921200"
"d500000c-01","7.76","77.55","1498921380"
"d500000c-01","7.753","77.41","1498921560"
"d500000c-01","7.725","76.83","1498921740"
"d500000c-01","7.745","77.24","1498921920"
"d500000c-01","7.745","77.24","1498922100"
"d500000c-01","7.768","77.72","1498922280"
"d500000c-01","7.713","76.58","1498922460"
"d500000c-01","7.764","77.63","1498922640"
"d500000c-01","7.737","77.08","1498922820"
"d500000c-01","7.772","77.8","1498923000"
"d500000c-01","7.757","77.49","1498923180"
"d500000c-01","7.725","76.83","1498923360"
"d500000c-01","7.78","77.96","1498923540"
"d500000c-01","7.733","76.99","1498923720"
"d500000c-01","7.749","77.32","1498923900"
"d500000c-01","7.772","77.8","1498924080"
"d500000c-01","7.71","76.52","1498924440"
"d500000c-01","7.733","76.99","1498924620"
"d500000c-01","7.78","77.96","1498924800"
"d500000c-01","7.745","77.24","1498924980"
"d500000c-01","7.717","76.66","1498925160"
"d500000c-01","7.737","77.08","1498925340"
"d500000c-01","7.741","77.16","1498925520"
"d500000c-01","7.741","77.16","1498925700"
"d500000c-01","7.725","76.83","1498925880"
"d500000c-01","7.776","77.88","1498926060"
"d500000c-01","7.737","77.08","1498926240"
"d500000c-01","7.757","77.49","1498926420"
"d500000c-01","7.776","77.88","1498926600"
"d500000c-01","7.78","77.96","1498926780"
"d500000c-01","7.757","77.49","1498926960"
"d500000c-01","7.706","76.44","1498927140"
"d500000c-01","7.768","77.72","1498927320"
"d500000c-01","7.749","77.32","1498927500"
"d500000c-01","7.772","77.8","1498927680"
"d500000c-01","7.713","76.58","1498927860"
"d500000c-01","7.772","77.8","1498928040"
"d500000c-01","7.76","77.55","1498928220"
"d500000c-01","7.717","76.66","1498928400"
"d500000c-01","7.772","77.8","1498928580"
"d500000c-01","7.717","76.66","1498928760"
"d500000c-01","7.721","76.75","1498928940"
"d500000c-01","7.733","76.99","1498929120"
"d500000c-01","7.819","78.77","1498929300"
"d500000c-01","7.725","76.83","1498929480"
"d500000c-01","7.725","76.83","1498929660"
"d500000c-01","7.76","77.55","1498929840"
"d500000c-01","7.741","77.16","1498930020"
"d500000c-01","7.741","77.16","1498930200"
"d500000c-01","7.8","78.38","1498930380"
"d500000c-01","7.784","78.05","1498930560"
"d500000c-01","7.76","77.55","1498930740"
"d500000c-01","7.737","77.08","1498930920"
"d500000c-01","7.753","77.41","1498931100"
"d500000c-01","7.725","76.83","1498931280"
"d500000c-01","7.733","76.99","1498931460"
"d500000c-01","7.706","76.44","1498931640"
"d500000c-01","7.725","76.83","1498931820"
"d500000c-01","7.729","76.91","1498932000"
"d500000c-01","7.784","78.05","1498932180"
"d500000c-01","7.745","77.24","1498932360"
"d500000c-01","7.772","77.8","1498932540"
"d500000c-01","7.749","77.32","1498932720"
"d500000c-01","7.745","77.24","1498932900"
"d500000c-01","7.737","77.08","1498933080"
"d500000c-01","7.717","76.66","1498933260"
"d500000c-01","7.741","77.16","1498933440"
"d500000c-01","7.725","76.83","1498933620"
"d500000c-01","7.76","77.55","1498933800"
"d500000c-01","7.804","78.46","1498933980"
"d500000c-01","7.749","77.32","1498934160"
"d500000c-01","7.76","77.55","1498934340"
"d500000c-01","7.749","77.32","1498934520"
"d500000c-01","7.753","77.41","1498934700"
"d500000c-01","7.702","76.35","1498934880"
"d500000c-01","7.76","77.55","1498935060"
"d500000c-01","7.804","78.46","1498935240"
"d500000c-01","7.76","77.55","1498935420"
"d500000c-01","7.745","77.24","1498935600"
"d500000c-01","7.788","78.13","1498935780"
"d500000c-01","7.776","77.88","1498935960"
"d500000c-01","7.753","77.41","1498936140"
"d500000c-01","7.737","77.08","1498936320"
"d500000c-01","7.741","77.16","1498936500"
"d500000c-01","7.768","77.72","1498936680"
"d500000c-01","7.772","77.8","1498936860"
"d500000c-01","7.768","77.72","1498937040"
"d500000c-01","7.772","77.8","1498937220"
"d500000c-01","7.827","78.93","1498937400"
"d500000c-01","7.776","77.88","1498937580"
"d500000c-01","7.753","77.41","1498937760"
"d500000c-01","7.792","78.21","1498937940"
"d500000c-01","7.8","78.38","1498938120"
"d500000c-01","7.819","78.77","1498938300"
"d500000c-01","7.776","77.88","1498938480"
"d500000c-01","7.792","78.21","1498938660"
"d500000c-01","7.827","78.93","1498938840"
"d500000c-01","7.788","78.13","1498939020"
"d500000c-01","7.784","78.05","1498939200"
"d500000c-01","7.757","77.49","1498939380"
"d500000c-01","7.8","78.38","1498939560"
"d500000c-01","7.772","77.8","1498939740"
"d500000c-01","7.788","78.13","1498939920"
"d500000c-01","7.78","77.96","1498940100"
"d500000c-01","7.792","78.21","1498940280"
"d500000c-01","7.776","77.88","1498940460"
"d500000c-01","7.772","77.8","1498940640"
"d500000c-01","7.808","78.54","1498940820"
"d500000c-01","7.815","78.68","1498941000"
"d500000c-01","7.749","77.32","1498941180"
"d500000c-01","7.811","78.6","1498941360"
"d500000c-01","7.788","78.13","1498941540"
"d500000c-01","7.815","78.68","1498941720"
"d500000c-01","7.862","79.65","1498941900"
"d500000c-01","7.811","78.6","1498942080"
"d500000c-01","7.941","81.28","1498942260"
"d500000c-01","7.796","78.29","1498942440"
"d500000c-01","7.819","78.77","1498942620"
"d500000c-01","7.827","78.93","1498942800"
"d500000c-01","7.792","78.21","1498942980"
"d500000c-01","7.776","77.88","1498943160"
"d500000c-01","7.823","78.85","1498943340"
"d500000c-01","7.815","78.68","1498943520"
"d500000c-01","7.815","78.68","1498943700"
"d500000c-01","7.78","77.96","1498943880"
"d500000c-01","7.835","79.1","1498944060"
"d500000c-01","7.819","78.77","1498944240"
"d500000c-01","7.788","78.13","1498944420"
"d500000c-01","7.811","78.6","1498944600"
"d500000c-01","7.808","78.54","1498944780"
"d500000c-01","7.847","79.34","1498944960"
"d500000c-01","7.815","78.68","1498945140"
"d500000c-01","7.819","78.77","1498945320"
"d500000c-01","7.819","78.77","1498945500"
"d500000c-01","7.851","79.43","1498945680"
"d500000c-01","7.823","78.85","1498945860"
"d500000c-01","7.839","79.18","1498946040"
"d500000c-01","7.808","78.54","1498946220"
"d500000c-01","7.827","78.93","1498946400"
"d500000c-01","7.851","79.43","1498946580"
"d500000c-01","7.827","78.93","1498946760"
"d500000c-01","7.843","79.26","1498946940"
"d500000c-01","7.843","79.26","1498947120"
"d500000c-01","7.839","79.18","1498947300"
"d500000c-01","7.811","78.6","1498947480"
"d500000c-01","7.87","79.82","1498947660"
"d500000c-01","7.843","79.26","1498947840"
"d500000c-01","7.823","78.85","1498948020"
"d500000c-01","7.819","78.77","1498948200"
"d500000c-01","7.87","79.82","1498948380"
"d500000c-01","7.874","79.9","1498948560"
"d500000c-01","7.855","79.51","1498948740"
"d500000c-01","7.835","79.1","1498948920"
"d500000c-01","7.858","79.57","1498949100"
"d500000c-01","7.804","78.46","1498949280"
"d500000c-01","7.862","79.65","1498949460"
"d500000c-01","7.815","78.68","1498949640"
"d500000c-01","7.815","78.68","1498949820"
"d500000c-01","7.819","78.77","1498950000"
"d500000c-01","7.835","79.1","1498950180"
"d500000c-01","7.827","78.93","1498950360"
"d500000c-01","7.823","78.85","1498950540"
"d500000c-01","7.87","79.82","1498950720"
"d500000c-01","7.843","79.26","1498950900"
"d500000c-01","7.858","79.57","1498951080"
"d500000c-01","7.874","79.9","1498951260"
"d500000c-01","7.819","78.77","1498951440"
"d500000c-01","7.866","79.74","1498951620"
"d500000c-01","7.847","79.34","1498951800"
"d500000c-01","7.847","79.34","1498951980"
"d500000c-01","7.874","79.9","1498952160"
"d500000c-01","7.862","79.65","1498952340"
"d500000c-01","7.851","79.43","1498952520"
"d500000c-01","7.87","79.82","1498952700"
"d500000c-01","7.925","80.95","1498952880"
"d500000c-01","7.937","81.2","1498953060"
